Kanji,Kana,English
日本,にほん,Japan
一人で,ひとりで,alone
月曜日,げつようび,Monday
火曜日,かようび,Tuesday
水曜日,ついようび,Wednesday
木曜日,もくようび,Thursday
金曜日,きんようび,Friday
土曜日,どようび,Saturday
日曜日,にちようび,Sunday
〜時半,じかん,half-past
山川さん,やまかわさん,yamakawa
田中さん,たなかさん,tanaka
山田さん,やまださん,yamada
元気な,げんきな,healthy
天気,てんき,weather
今日,きょう,today
女の人,おんなのひと,women
男の人,おとこのひと,man
見る,みる,to see
行く,いく,to go
食べる,たべる,to eat
飲む,のむ,to drink
北口,きたぐち,north exit
東口,ひがしぐち,east exit
南口,みなみぐち,south exit
西口,にしぐち,west exit
出かける,でかける,to go out
出る,でる,to exit
出口,でぐち,exit
右,みぎ,right
左,ひだり,left
先生,せんせい,teacher
学生,がくせい,student
大学,だいがく,university
大学生,だいがくせい,university student
大きい,おおきい,big
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
中国,ちゅうごく,China
東京,とうきょう,Tokyo
京子,きょうこ,Kyoko
子ども,こども,child
小さい,ちいさい,small
会う,あう,to meet
会社,かいしゃ,company
父,ちち,father
お父さん,おとうさん,father
母,はは,mother
お母さん,おかあさん,mother
高い,たかい,expensive
高校,こうこう,high school
学校,がっこう,school
毎日,まいにち,every day
日本語,にほんご,Japanese language
文学,ぶんがく,literature
帰る,かえる,to return
入る,はいる,to enter
会社員,かいしゃいん,office worker
新し,あtらしい,new
新聞,しんぶん,newspaper
聞く,きく,to listen
作る,つくる,to make
仕事,しごと,work
電車,でんしゃ,train
電気,でんき,electricity
車,くるま,car
休む,やすむ,to rest
休み,やすみ,holiday
言う,いう,to say
読む,よむ,to read
思う,おもう,to think
次,つぎ,next
何,なに,what
何時,なんじ,what time
何人,なんにん,how many people
